title,company,location,work_mode,job_type,skills,salary_avg,date_posted,experience_level,education,source,job_url,salary_min,salary_max,role,country
Principal Data Science Manager,Microsoft,"New York, New York, United States",onsite,fulltime,,227700.0,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/principal-data-science-manager-microsoft-united-states-20/,173200.0,282200.0,Data Scientist,United States
Data Science Intern,Microsoft,"Belgrade, , Serbia",onsite,fulltime,,,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-science-intern-microsoft-serbia-19/,,,Data Scientist,Serbia
Data Scientist,Vanguard,"Dallas, Texas, United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-vanguard-united-states-1/,,,Data Scientist,United States
Data Scientist 2,Day & Zimmermann,"Philadelphia, Pennsylvania, United States",onsite,fulltime,,113925.0,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-2-day-zimmermann-united-states-1/,86800.0,141050.0,Data Scientist,United States
Data Scientist,Enova International,"Chicago, Illinois, United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-enova-international-united-states-1/,,,Data Scientist,United States
Data Scientist - Ads,Netflix,"Los Gatos, California, United States",onsite,fulltime,,640000.0,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-ads-netflix-united-states-6/,360000.0,920000.0,Data Scientist,United States
Data Scientist II,Chewy,"Boston, Massachusetts, United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-ii-chewy-united-states-3/,,,Data Scientist,United States
Senior Data Scientist,Audible,"Newark, New Jersey, United States",onsite,fulltime,,187450.0,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-audible-united-states-1/,127300.0,247600.0,Data Scientist,United States
Data Scientist - Offers Team,iwoca,"London, , United Kingdom",onsite,fulltime,,,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-iwoca-united-kingdom-1/,,,Data Scientist,United Kingdom
"Tech Lead Manager, Data Science",Airbnb,", , United States",onsite,fulltime,,215000.0,2026-03-09 00:00:00+00:00,lead,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/tech-lead-manager-data-science-airbnb-united-states-10/,185000.0,245000.0,Data Scientist,United States
